Metro,sentiment,retweets
Bengaluru,negative,10.766800374419185
Bengaluru,neutral,68.40233759005596
Bengaluru,positive,20.83086203552485
Delhi,negative,9.167678622767081
Delhi,neutral,72.77437598424352
Delhi,positive,18.057945392989396
Hyderabad,negative,6.796717341584825
Hyderabad,neutral,73.17223607819598
Hyderabad,positive,20.03104658021919
Kolkata,negative,7.219827854815753
Kolkata,neutral,66.11860718443165
Kolkata,positive,26.661564960752592
Mumbai,negative,7.182149114230578
Mumbai,neutral,71.94632251132272
Mumbai,positive,20.8715283744467
