cleaned_text,created_at,follower_count,profile_image,retweets,sentiment,text,tweet_id,user_name,user_url
rdanarohit सुनो र मित्रो साथियों~!! 👇 सुश्र मायावत ज ने बहुज समा क हि में ट्वीटन क बेह कठि मार्ग,2019-02-06 12:08:36,61446,https://pbs.twimg.com/profile_images/1080856442494771203/S0qckDTn_normal.jpg,61,neutral,"rdanarohit सुनों रे मित्रों व साथियों~!!
👇
सुश्री मायावती जी ने
बहुजन समाज के हित में
ट्वीटने का बेहद कठिन मार्ग… https://t.co/0vRM6X8l3R",1093119265660649472,#VTD_EkantBhai 🇮🇳🚩,https://twitter.com/SaundiD
भार क 40 वे संचा उपग्र जीसैट-31 क सफलतापूर्व लॉन् करन क लि इसर क वैज्ञानिको क बधाई। #GSAT31 #India #Biha…,2019-02-06 12:00:29,34,https://pbs.twimg.com/profile_images/1093810583042953216/WP4VdDg__normal.jpg,16,neutral,"@nkishoreyadav: भारत के 40 वें संचार उपग्रह जीसैट-31 को सफलतापूर्वक लॉन्च करने के लिए इसरो के वैज्ञानिकों को बधाई।

#GSAT31 #India #Biha…",1093117221176512513,faiyazkazimi,https://twitter.com/faiyazalikazimi
भार क 40 वे संचा उपग्र जीसैट-31 क सफलतापूर्व लॉन् करन क लि इसर क वैज्ञानिको क बधाई। #GSAT31 #India #Bihar…,2019-02-06 11:29:51,305,https://pbs.twimg.com/profile_images/1092013839481094144/h5iOg3Hk_normal.jpg,2,neutral,"@bjpsitamarhi: भारत के 40 वें संचार उपग्रह जीसैट-31 को सफलतापूर्वक लॉन्च करने के लिए इसरो के वैज्ञानिकों को बधाई।

#GSAT31 #India #Bihar…",1093109512968450050,Shashi Ranjan,https://twitter.com/ShashiR22216514
भार क 40 वे संचा उपग्र जीसैट-31 क सफलतापूर्व लॉन् करन क लि इसर क वैज्ञानिको क बधाई। #GSAT31 #India #Biha…,2019-02-06 11:21:51,1479,https://pbs.twimg.com/profile_images/1093730604342947840/9Q7HKJQj_normal.jpg,16,neutral,"@nkishoreyadav: भारत के 40 वें संचार उपग्रह जीसैट-31 को सफलतापूर्वक लॉन्च करने के लिए इसरो के वैज्ञानिकों को बधाई।

#GSAT31 #India #Biha…",1093107500151259137,Gaurav Chitrance,https://twitter.com/ModifiedGauravC
अमावस्य प #KumbhMela क लि इ चित् स सा ज़ाहि ह रह ह लोगो क आस्थ क जश् मोद सरका द्वार सफल,2019-02-06 11:20:01,61,https://pbs.twimg.com/profile_images/1070957525799817216/T6C-ZmAi_normal.jpg,0,neutral,"ी अमावस्या पर #KumbhMela के लिए इस चित्र से साफ ज़ाहिर हो रहा है लोगों की आस्था का जश्न 
मोदी सरकार द्वारा सफल… https://t.co/QrZie881Un",1093107038438215682,PoliticalT20,https://twitter.com/PoliticalT20
क 40 वे संचा उपग्र जीसैट-31 क सफलतापूर्व लॉन् करन क लि इसर क वैज्ञानिको क बधाई। #GSAT31 #India #Bihar #ISRO #ModiSarkar,2019-02-06 11:18:08,20,https://pbs.twimg.com/profile_images/1091936229275418625/jENZfojB_normal.jpg,2,neutral,"त के 40 वें संचार उपग्रह जीसैट-31 को सफलतापूर्वक लॉन्च करने के लिए इसरो के वैज्ञानिकों को बधाई।

#GSAT31 #India #Bihar #ISRO  #ModiSarkar",1093106562430689280,Bjpsitamarhi,https://twitter.com/bjpsitamarhi
भार क 40 वे संचा उपग्र जीसैट-31 क सफलतापूर्व लॉन् करन क लि इसर क वैज्ञानिको क बधाई। #GSAT31 #India #Biha…,2019-02-06 11:09:58,835,https://pbs.twimg.com/profile_images/1094082374311174145/xbDSlndj_normal.jpg,16,neutral,"@nkishoreyadav: भारत के 40 वें संचार उपग्रह जीसैट-31 को सफलतापूर्वक लॉन्च करने के लिए इसरो के वैज्ञानिकों को बधाई।

#GSAT31 #India #Biha…",1093104509579026432,Choudhary Rahul Singh,https://twitter.com/Ch_Rahul29
आर्थि रू स कमजो सामान् वर् क #छात्रो क मोद सरका क तोहफा निज सरकार शिक्ष संस्थानो मे इस सत् स मि…,2019-02-06 11:07:22,158,https://pbs.twimg.com/profile_images/1063825239723794433/yEJ9jDJM_normal.jpg,16,neutral,"@nkishoreyadav: आर्थिक रूप से कमजोर सामान्य वर्ग के #छात्रों को मोदी सरकार का तोहफा

• निजी व सरकारी शिक्षण संस्थानों में इसी सत्र से मि…",1093103855988965376,Akhilesh Kr.Singh,https://twitter.com/Akhiles24403375
क 40 वे संचा उपग्र जीसैट-31 क सफलतापूर्व लॉन् करन क लि इसर क वैज्ञानिको क बधाई। #GSAT31 #India,2019-02-06 10:54:44,176226,https://pbs.twimg.com/profile_images/917811922359037952/lfyQCibf_normal.jpg,16,neutral,"त के 40 वें संचार उपग्रह जीसैट-31 को सफलतापूर्वक लॉन्च करने के लिए इसरो के वैज्ञानिकों को बधाई।

#GSAT31 #India… https://t.co/vFhJx7KafJ",1093100676375166976,Nand Kishore Yadav,https://twitter.com/nkishoreyadav
"आ ह ज गूग प लिखत है 'Worlds fastest growing economy' त सिर् ए ह ना आत ह ""INDIA"" मुझ गर् ह क म ए ऐसी…",2019-02-06 10:54:04,686,https://pbs.twimg.com/profile_images/1075759540677865472/Y86WUavA_normal.jpg,2,neutral,"@NiveshRau6484: आज हम जब गूगल पर लिखते है
'Worlds fastest growing economy'
तो सिर्फ एक ही नाम आता है ""INDIA""
मुझे गर्व है की मे एक ऐसी…",1093100506074042368,I Support Abhishek Jagini BJP,https://twitter.com/AbhiJagBJPFan
O न मोद ज क विश्वा क स क दिखाया ए औ संचा उपग्र क अंतरिक् मे स्थापि कराय अंतरिक् मे लहर र,2019-02-06 10:38:58,269,https://pbs.twimg.com/profile_images/1004636387373535232/q5-tKy5j_normal.jpg,0,neutral,"O ने मोदी जी के विश्वास को सच कर दिखाया, एक और संचार उपग्रह को अंतरिक्ष में स्थापित कराया 

अंतरिक्ष में लहरा र… https://t.co/iRZwwV1691",1093096707577901057,Bikash Prasad Singh,https://twitter.com/singhbikashbjp
"मोद रा मे गल गल मे ह शोर,नही बचेग को भ्रष्टाचार नह बचेग को चोर #ModiSarkar #Jamui #BJP4Jamui #India #B…",2019-02-06 10:36:06,671,https://pbs.twimg.com/profile_images/1087684676905357312/giBSKoO3_normal.jpg,1,neutral,"@singhbikashbjp: मोदी राज में गली गली में है शोर,नहीं बचेगा कोई भ्रष्टाचारी नही बचेगा कोई चोर 

 #ModiSarkar #Jamui #BJP4Jamui #India #B…",1093095984660246528,बबलू विश्वकर्मा,https://twitter.com/jamui_
Our OBC morcha president Shri Karthik Kandappan is explaining about what Modisarkar has done for OBCs &amp poor He's also…,2019-02-06 10:35:58,22,https://pbs.twimg.com/profile_images/1089418497174765568/DHOGQeCh_normal.jpg,74,negative,@mahesh10816: Our OBC morcha president Shri Karthik Kandappan  is explaining about what Modisarkar has done for OBCs &amp; poor . He's also…,1093095952662056960,vadrevu kalyani,https://twitter.com/KalyaniVadrevu
"रा मे गल गल मे ह शोर,नही बचेग को भ्रष्टाचार नह बचेग को चोर #ModiSarkar #Jamui #BJP4Jamui",2019-02-06 10:35:34,269,https://pbs.twimg.com/profile_images/1004636387373535232/q5-tKy5j_normal.jpg,1,neutral,"ी राज में गली गली में है शोर,नहीं बचेगा कोई भ्रष्टाचारी नही बचेगा कोई चोर 

 #ModiSarkar #Jamui #BJP4Jamui… https://t.co/6CUy9LArSe",1093095851713486848,Bikash Prasad Singh,https://twitter.com/singhbikashbjp
_Bharath #ModiOnceMore #ModiFor2019 #ModiDobara #ModiGovt #ModiSarkar #modiwithmiddleclass #modi5yearchallenge #ModiAgain2019 http…,2019-02-06 10:33:40,526,https://pbs.twimg.com/profile_images/663260221033189376/YB31hiDw_normal.jpg,1,neutral,@Jago_Bharath: #ModiOnceMore #ModiFor2019 #ModiDobara #ModiGovt #ModiSarkar #modiwithmiddleclass #modi5yearchallenge #ModiAgain2019 http…,1093095373738897409,LOVE YOUR COUNTRY,https://twitter.com/tweetkausal
diOnceMore #ModiFor2019 #ModiDobara #ModiGovt #ModiSarkar #modiwithmiddleclass #modi5yearchallenge #ModiAgain2019,2019-02-06 10:28:48,1808,https://pbs.twimg.com/profile_images/1079930727167184899/f0g_nveW_normal.jpg,1,neutral,diOnceMore #ModiFor2019 #ModiDobara #ModiGovt #ModiSarkar #modiwithmiddleclass #modi5yearchallenge #ModiAgain2019 https://t.co/qrZn1augHt,1093094148050223104,Jago Bharat,https://twitter.com/Jago_Bharath
आर्थि रू स कमजो सामान् वर् क #छात्रो क मोद सरका क तोहफा निज सरकार शिक्ष संस्थानो मे इस सत् स मि…,2019-02-06 10:16:34,3251,https://pbs.twimg.com/profile_images/978262122625875969/wG0tU045_normal.jpg,16,neutral,"@nkishoreyadav: आर्थिक रूप से कमजोर सामान्य वर्ग के #छात्रों को मोदी सरकार का तोहफा

• निजी व सरकारी शिक्षण संस्थानों में इसी सत्र से मि…",1093091070596923392,🇮🇳 Shekhar Yadav 🇮🇳,https://twitter.com/shekhar88yadav3
disarkar,2019-02-06 10:06:58,104,https://pbs.twimg.com/profile_images/1032678935216050178/wuOeu0Cy_normal.jpg,0,neutral,disarkar https://t.co/PrlqYbtHLJ,1093088653407006720,Dinesh Thirani,https://twitter.com/DineshThirani
#Pension through #JeevanPramman under #ModiSarkar. #AbKiBaarFirModiSarkar,2019-02-06 09:54:10,1444,https://pbs.twimg.com/profile_images/836246255374381059/FAD9xtcr_normal.jpg,2,neutral,"@ImobaNg: #Pension through #JeevanPramman under #ModiSarkar.

#AbKiBaarFirModiSarkar https://t.co/PxSQOhIAYZ",1093085433821564929,PensionPayroll,https://twitter.com/PensionPayroll
tv Mitro Jo kisi sarkar ne 70 saal mein nahi kiya jo koi CM PM nahi kar paya Wo #Sabrimala ka uddhar aapke M,2019-02-06 09:51:22,1487,https://pbs.twimg.com/profile_images/967039225664176128/EU5GlPAK_normal.jpg,0,neutral,"tv Mitro! Jo kisi sarkar ne 70 saal mein nahi kiya, jo koi CM, PM nahi kar paya? Wo #Sabrimala ka uddhar aapke M… https://t.co/PcznmQEJie",1093084730180829185,Prof. Satish Pandey,https://twitter.com/SatishPan2013
bkaSaathSabkaVikas #Abkibaar400Paar #NamoAgain #PhirekbaarModiSarkar #MiddleClassWithModi #BharatKeMannKiBaat,2019-02-06 09:27:21,2,https://pbs.twimg.com/profile_images/1093084964743081984/SJYlp-AW_normal.jpg,0,neutral,bkaSaathSabkaVikas #Abkibaar400Paar #NamoAgain #PhirekbaarModiSarkar #MiddleClassWithModi #BharatKeMannKiBaat… https://t.co/rg2oQuSN0Q,1093078685899313157,Gitanjali@BJP,https://twitter.com/GitanjaliBJP1
While the politicians of #Mahagathbandhan are busy protecting each other in various scam cases #ModiSarkar continues its…,2019-02-06 09:21:58,3,https://pbs.twimg.com/profile_images/1093044055989239808/vN4jatsy_normal.jpg,48,negative,"@manishBJPUP: While the politicians of #Mahagathbandhan are busy protecting each other in various scam cases, #ModiSarkar continues its…",1093077328136204288,Goodluck Pandit,https://twitter.com/PanditGoodluck
nsion through #JeevanPramman under #ModiSarkar. #AbKiBaarFirModiSarkar,2019-02-06 09:09:47,162,https://pbs.twimg.com/profile_images/900698460092903424/0gAsmRD7_normal.jpg,2,neutral,"nsion through #JeevanPramman under #ModiSarkar.

#AbKiBaarFirModiSarkar https://t.co/PxSQOhIAYZ",1093074262171242497,Imoba Singh,https://twitter.com/ImobaNg
લોકસભ ચૂંટણ પહેલ ભાજપન ઝટકો કહ્ય NDAથ અલ થવ યોગ્ સમયન રાહ Read more at #ModiSa…,2019-02-06 08:44:54,186,https://pbs.twimg.com/profile_images/1031059157930176514/KpAaUKEf_normal.jpg,1,positive,"@oneindiagujarat: લોકસભા ચૂંટણી પહેલા ભાજપને ઝટકો, કહ્યુ - NDAથી અલગ થવા યોગ્ય સમયની રાહ
 Read more at: https://t.co/4yF8qUbgoR 
#ModiSa…",1093068000268300288,Kalpesh Bhatti,https://twitter.com/Kalpeshbhatti51
સભ ચૂંટણ પહેલ ભાજપન ઝટકો કહ્ય NDAથ અલ થવ યોગ્ સમયન રાહ Read more at,2019-02-06 08:38:28,17436,https://pbs.twimg.com/profile_images/453463663152607232/mVxkdnfM_normal.png,1,positive,"સભા ચૂંટણી પહેલા ભાજપને ઝટકો, કહ્યુ - NDAથી અલગ થવા યોગ્ય સમયની રાહ
 Read more at: https://t.co/4yF8qUbgoR… https://t.co/f3sjK5q5sQ",1093066383540260864,Oneindia Gujarati,https://twitter.com/oneindiagujarat
#ModiSarkar has given a much needed filip to the aspirational Middle Class ! Meaningful lower taxes affordable healthc…,2019-02-05 23:57:32,306,https://pbs.twimg.com/profile_images/1074891347729866752/p2gOcs8Q_normal.jpg,52,positive,"@indiafirst91: #ModiSarkar has given a much needed filip to the aspirational Middle Class  !
Meaningful lower taxes , affordable healthc…",1092935285871001600,Prasanth TH,https://twitter.com/thprasanth
While the politicians of #Mahagathbandhan are busy protecting each other in various scam cases #ModiSarkar continues its…,2019-02-05 22:36:02,14,https://pbs.twimg.com/profile_images/1008743886926123008/7qNQLABO_normal.jpg,48,negative,"@manishBJPUP: While the politicians of #Mahagathbandhan are busy protecting each other in various scam cases, #ModiSarkar continues its…",1092914776928186368,madhu upadhyay,https://twitter.com/madhuupadhyay10
While the politicians of #Mahagathbandhan are busy protecting each other in various scam cases #ModiSarkar continues its…,2019-02-05 22:35:30,13,https://pbs.twimg.com/profile_images/1008620672346566657/Z2dV3Kxp_normal.jpg,48,negative,"@manishBJPUP: While the politicians of #Mahagathbandhan are busy protecting each other in various scam cases, #ModiSarkar continues its…",1092914641313792000,kanak upadhyay,https://twitter.com/kanakupadhyay9
While the politicians of #Mahagathbandhan are busy protecting each other in various scam cases #ModiSarkar continues its…,2019-02-05 22:33:05,29,https://pbs.twimg.com/profile_images/989920422756995072/v-58tE6R_normal.jpg,48,negative,"@manishBJPUP: While the politicians of #Mahagathbandhan are busy protecting each other in various scam cases, #ModiSarkar continues its…",1092914033538154496,Amit upadhyay,https://twitter.com/johnamit05
t has #ModiSarkar done Not USA Not China Not Japan India becomes No.1 for foreign investments #MakeinIndia,2019-02-05 22:27:49,258,https://pbs.twimg.com/profile_images/997503804454010880/WAWc-6F6_normal.jpg,0,negative,"t has #ModiSarkar done?  Not USA, Not China, Not Japan, India becomes No.1 for foreign investments #MakeinIndia https://t.co/IK8XjPAnKh",1092912706116567040,Kartick Kumar Misraa,https://twitter.com/kartickmisraa
